folioviv,foliohog,numren,ambito,sinco,factor_w,tam_hogar,dependientes,ingreso_pc_mensual,linea_pobreza,linea_pobreza_extrema,_bajo_lp,_bajo_lpei
0300851806,1,01,urbano,5212,139,3,2,22524.583333333332,4660.52,2366.33,0.0,0.0
0300867801,1,01,urbano,2271,135,2,1,74738.355,4660.52,2366.33,0.0,0.0
0300867801,1,01,urbano,2271,135,2,1,74738.355,4660.52,2366.33,0.0,0.0
0300872706,1,01,urbano,7343,160,3,2,7071.423333333333,4660.52,2366.33,0.0,0.0
0300879004,1,01,urbano,7322,128,3,2,23324.153333333335,4660.52,2366.33,0.0,0.0
0300883905,1,01,urbano,7321,138,1,0,51218.25,4660.52,2366.33,0.0,0.0
0300894501,1,01,urbano,2543,120,4,3,16520.375,4660.52,2366.33,0.0,0.0
0300902502,1,01,urbano,5212,134,2,1,36739.985,4660.52,2366.33,0.0,0.0
0300917506,1,01,urbano,4312,121,1,0,55798.72,4660.52,2366.33,0.0,0.0
0300926402,1,01,urbano,1722,102,1,0,88168.75,4660.52,2366.33,0.0,0.0
0300927002,1,01,urbano,3222,119,3,2,40108.69,4660.52,2366.33,0.0,0.0
0300933301,1,01,urbano,2543,125,1,0,86983.16,4660.52,2366.33,0.0,0.0
0300933305,1,01,urbano,7223,125,2,1,12509.51,4660.52,2366.33,0.0,0.0
0300943403,1,01,urbano,2172,129,2,1,48476.31,4660.52,2366.33,0.0,0.0
0300954802,1,01,urbano,2655,217,2,1,29508.195,4660.52,2366.33,0.0,0.0
0300963701,1,01,urbano,7321,138,1,0,57035.43,4660.52,2366.33,0.0,0.0
0300974704,1,01,urbano,2172,194,2,1,101213.11,4660.52,2366.33,0.0,0.0
0300975306,1,01,urbano,2552,185,2,1,29516.89,4660.52,2366.33,0.0,0.0
0300976906,1,01,urbano,2544,197,2,1,102809.12,4660.52,2366.33,0.0,0.0
0300979205,1,01,urbano,2552,177,3,2,37862.89,4660.52,2366.33,0.0,0.0
0300989704,1,01,urbano,2271,117,5,4,53361.838,4660.52,2366.33,0.0,0.0
0300999605,1,01,urbano,1422,176,3,2,94238.86,4660.52,2366.33,0.0,0.0
0301012701,1,01,urbano,1422,169,3,2,51780.78666666666,4660.52,2366.33,0.0,0.0
0301025001,1,01,urbano,7999,131,4,3,7570.08,4660.52,2366.33,0.0,0.0
0301030205,1,01,urbano,3222,148,3,2,41172.52,4660.52,2366.33,0.0,0.0
0301031201,1,01,urbano,7342,159,7,6,11076.347142857141,4660.52,2366.33,0.0,0.0
0301059502,1,01,urbano,2542,143,2,1,54840.58,4660.52,2366.33,0.0,0.0
0301077206,1,01,urbano,5212,217,3,2,47752.74333333334,4660.52,2366.33,0.0,0.0
0301078903,1,01,urbano,3222,229,1,0,141270.26,4660.52,2366.33,0.0,0.0
