folioviv,foliohog,numren,ambito,sinco,factor_w,_insegalim_modsev_proxy,_insegalim_severa_proxy
0501847204,1,01,urbano,2172,249,0,0
0501850824,1,01,urbano,7342,253,0,0
0501863303,1,01,urbano,2271,391,0,0
0501872906,1,01,urbano,8144,301,0,0
0501881002,1,01,urbano,7201,236,0,0
0501883006,1,01,urbano,2544,282,1,1
0501890605,1,01,urbano,2144,298,0,0
0501896701,1,01,urbano,7313,271,0,0
0501907604,1,01,urbano,2544,330,0,0
0501908806,1,01,urbano,3222,314,0,0
0501915705,1,01,urbano,5212,242,0,0
0501921405,1,01,urbano,2131,257,0,0
0501923804,1,01,urbano,2162,239,0,0
0501928701,1,01,urbano,2271,256,0,0
0501952904,1,01,urbano,5212,236,0,0
0501968503,1,01,urbano,5212,260,0,0
0501973204,1,01,urbano,7343,275,0,0
0501974806,1,01,urbano,7223,278,0,0
0501980303,1,01,urbano,2162,245,0,0
0501987701,1,01,urbano,2173,250,0,0
0501994703,1,01,urbano,5212,271,0,0
0502001002,1,01,urbano,1322,326,0,0
0502009601,1,01,urbano,4312,215,0,0
0502013006,1,01,urbano,2172,261,1,0
0502026904,1,01,urbano,5212,303,0,0
0502027715,1,01,urbano,2655,307,0,0
0562034303,1,01,rural,2172,129,0,0
0562039205,1,01,rural,2271,80,0,0
0562039716,1,01,rural,7201,80,0,0
0562059407,1,01,rural,4312,91,0,0
0602068401,1,01,urbano,2172,84,0,0
0602069020,1,01,urbano,2172,99,0,0
0602077302,1,01,urbano,1721,112,0,0
0602081906,1,01,urbano,2544,84,1,1
0602083902,1,01,urbano,2655,165,0,0
0602094806,1,01,urbano,2271,120,0,0
0602100005,1,01,urbano,2625,120,0,0
0602106001,1,01,urbano,2271,95,0,0
0602106003,1,01,urbano,7342,95,0,0
0602110203,1,01,urbano,7313,93,0,0
0602116304,1,01,urbano,2625,106,0,0
0602127302,1,01,urbano,2161,109,1,0
0602128503,1,01,urbano,5212,111,0,0
0602131905,1,01,urbano,5212,120,0,0
0602143501,1,01,urbano,2271,113,0,0
0602149402,1,01,urbano,7332,112,0,0
0602154801,1,01,urbano,1422,125,0,0
0602161301,1,01,urbano,2655,65,0,0
0602164021,1,01,urbano,7201,69,0,0
0602173806,1,01,urbano,7332,96,1,0
0602183803,1,01,urbano,7332,86,0,0
0602188502,1,01,urbano,2552,126,0,0
0602189501,1,01,urbano,2271,109,0,0
0602203906,1,01,urbano,7201,125,0,0
0602211802,1,01,urbano,7332,116,0,0
0602220403,1,01,urbano,2712,105,0,0
0602227406,1,01,urbano,1421,135,0,0
0602230004,1,01,urbano,2636,121,0,0
